Time,Actuals
2014_Month_01,213447
2014_Month_02,54503
2014_Month_03,264300
2014_Month_04,143230
2014_Month_05,309944
2014_Month_06,539275
2014_Month_07,602404
2014_Month_08,414811
2014_Month_09,1122615
2014_Month_10,137893
2014_Month_11,244019
2014_Month_12,299227
2015_Month_01,314470
2015_Month_02,184135
2015_Month_03,380140
2015_Month_04,255184
2015_Month_05,309539
2015_Month_06,832845
2015_Month_07,927891
2015_Month_08,724222
2015_Month_09,571448
2015_Month_10,231807
2015_Month_11,328176
2015_Month_12,591495
2016_Month_01,427663
2016_Month_02,351703
2016_Month_03,497389
2016_Month_04,244894
2016_Month_05,534792
2016_Month_06,376809
2016_Month_07,1419857
2016_Month_08,353987
2016_Month_09,40349
2016_Month_10,1155664
2016_Month_11,133602
2016_Month_12,70494
2017_Month_01,923024
2017_Month_02,654624
2017_Month_03,439447
2017_Month_04,150382
2017_Month_05,402642
2017_Month_06,667689
2017_Month_07,
2017_Month_08,
2017_Month_09,
2017_Month_10,
2017_Month_11,
2017_Month_12,
2018_Month_01,
2018_Month_02,
2018_Month_03,
2018_Month_04,
2018_Month_05,
2018_Month_06,
